 	cell_id	cell_coord_x	cell_coord_y	area	mean_ch2	std_ch2	min_ch2	max_ch2	bg_coord_ch2_x	bg_coord_ch2_y	bg_area_ch2	bg_mean_ch2	bg_std_ch2	bg_min_ch2	bg_max_ch2	area_h3	mean_ch3	std_ch3	min_ch3	max_ch3	bg_coord_ch3_x	bg_coord_ch3_y	bg_area_ch3	bg_mean_ch3	bg_std_ch3	bg_min_ch3	bg_max_ch3	Error	Comment
66	1772-066-262_F06	247	188	1121.552	1080.511	391.734	681	2560	197	238	1121.552	901.388	53.890	682	1023	1121.552	9.492	4.341	0	23	197	238	1121.552	9.712	4.164	0	23	0-No Error	No comment
67	1772-066-262_F07	223	191	1121.552	1544.127	1086.970	688	3882	173	241	1121.552	914.866	20.756	855	977	1121.552	10.288	4.427	0	23	173	241	1121.552	10.006	4.119	0	25	0-No Error	No comment
68	1772-066-262_F08	254	189	1121.552	1644.986	1145.473	699	3883	204	239	1121.552	907.476	55.215	668	1023	1121.552	9.514	4.189	0	23	204	239	1121.552	9.979	4.134	0	21	0-No Error	No comment
69	1772-066-262_F09	222	198	1121.552	2643.025	1261.180	867	3882	172	248	1121.552	924.675	21.203	853	989	1121.552	10.446	4.440	0	23	172	248	1121.552	10.218	4.315	0	23	4-MultipleCells	2 + debris
70	1772-066-262_F10	220	194	1121.552	1222.774	643.823	643	3478	170	244	1121.552	912.711	20.659	840	985	1121.552	9.774	4.319	0	24	170	244	1121.552	10.102	4.242	0	25	0-No Error	No comment
71	1772-066-262_F11	245	193	1121.552	1512.788	1050.796	692	3882	195	243	1121.552	909.325	55.036	668	1047	1121.552	9.525	4.071	0	24	195	243	1121.552	9.686	4.294	0	26	0-No Error	No comment
72	1772-066-262_F12	216	193	1121.552	1148.159	480.274	678	2776	166	243	1121.552	910.101	23.190	759	977	1121.552	10.793	5.100	0	32	166	243	1121.552	9.946	3.967	0	21	0-No Error	No comment
73	1772-066-262_G01	255	186	1121.552	2110.187	1281.216	698	3883	205	236	1121.552	922.450	56.494	685	1042	1121.552	16.130	15.699	0	90	205	236	1121.552	10.239	4.211	0	22	0-No Error	No comment
74	1772-066-262_G02	226	193	1121.552	1811.034	1213.513	717	3882	176	243	1121.552	918.122	20.907	849	988	1121.552	10.078	4.288	0	24	176	243	1121.552	9.865	4.114	0	28	0-No Error	No comment
75	1772-066-262_G03	254	191	1121.552	1703.797	1162.261	708	3883	204	241	1121.552	909.728	52.599	677	1026	1121.552	9.842	4.509	0	25	204	241	1121.552	9.295	4.115	0	22	0-No Error	No comment
